f1,f2,f3,label
0.6394267984578837,0.025010755222666936,0.27502931836911926,0
0.1395379285251439,0.1024951761715075,0.7406677446676758,0
0.5904925124490397,0.03178267948178359,0.09369523986159245,0
0.5053552881033624,0.026535969683863625,0.1988376506866485,1
0.2204406220406967,0.5892656838759087,0.8094304566778266,0
0.7588073671297673,0.15965931637689013,0.42261439815350255,1
0.15547949981178155,0.9572130722067812,0.33659454511262676,0
0.3799273006373374,0.3589793804846284,0.3439557224789711,1
0.8071282732743802,0.7297317866938179,0.5362280914547007,1
0.07880019807845817,0.2931782814070929,0.6286397994944434,1
0.577352145256762,0.7045718362149235,0.045824383655662215,0
0.7730683407886919,0.9852215206607577,0.8553177210151469,0
0.38012622503916615,0.4534103023684355,0.8341104266407503,0
0.37018096711688264,0.2095070307714877,0.26697782204911336,0
0.6091310056669882,0.171138648198097,0.7291267979503492,0
0.46226021185111577,0.269947826784278,0.9253911796212178,0
0.6846142509898746,0.8428519201898096,0.7759999115462448,0
0.8218025940068083,0.8050458007712143,0.40116478702232894,0
0.21098284358632646,0.9429097143350544,0.8763676264726689,1
0.2126265440541406,0.4992312594922773,0.8846831538867025,1
0.14287159044206266,0.1396303195255063,0.7449889820916066,1
0.7470138116522579,0.4284338272945797,0.5835329249456562,1
0.21932075915728333,0.9975376064951103,0.5095262936764645,0
0.7557821575337378,0.8611029096666658,0.15284131934826106,0
0.7920793643629641,0.42215996679968404,0.06352770615195713,1
0.5958884283611281,0.46804988778467727,0.2514141199818132,0
0.6802834102565185,0.11455174298368664,0.884788450129109,1
0.7685987326574459,0.34017547303104523,0.29350012864742614,0
0.45372370632920644,0.9538159275210801,0.8758529403781941,1
0.9718880988701143,0.7619621990520646,0.5076816746043252,0
0.8705185698367669,0.2984447914486329,0.6389494948660052,0
0.1528392685496348,0.7625108000751513,0.5393790301196257,0
0.598944584460229,0.48860570802894787,0.11186772532089506,1
0.8787218778231842,0.8316655293611794,0.30751412540266143,0
0.2408715924472331,0.56735694368891,0.0787570482913661,1
0.8160232534200885,0.9779844936773342,0.5327061695295157,0
0.1283914644997628,0.4752823780987313,0.5498035934949439,1
0.527673787418254,0.6065939174826289,0.9643629060074552,0
0.7129489728191218,0.39899229999742913,0.6716869596382831,1
0.43810008391450406,0.5175758410355906,0.12100419586826572,0
0.06402589632634492,0.02103426000705888,0.5539215224244798,0
0.0071908389850935395,0.7078409465484541,0.0588737668763234,0
0.905420013006128,0.8596354002537465,0.07085734988865344,0
0.278477263964547,0.48541449915049073,0.5392339313947546,1
0.2429972423957245,0.4729729429445937,0.4070599614859366,0
0.09693081422882333,0.4310511824063775,0.4235786230199208,1
0.8638367483696032,0.054171187232170515,0.6534554882657916,0
0.06061267407701365,0.7282135884411827,0.8005925108616988,0
